39000 3000 -22.039805760887358
39000 3020 -18.210327074553227
39000 3040 -19.81227925438501
39000 3060 -25.389077750803555
39000 3080 -23.90224535132004
39000 3100 -25.249175862742046
39000 3120 -22.555667958115386
39000 3140 -26.57334255604542
39000 3160 -22.938714032621718
39000 3180 -26.853311051374106
39000 3200 -22.04776433367599
39000 3220 -22.60463824457046
39000 3240 -24.35029129886916
39000 3260 -26.083280484925577
39000 3280 -28.350654236995346
39000 3300 -30.436659219380928
39000 3320 -26.761160124420375
39000 3340 -26.844774033967383
39000 3360 -30.6070855058261
39000 3380 -31.71079724232639
39000 3400 -26.96650651565133
39000 3420 -23.19612870538922
39000 3440 -22.255864689711082
39000 3460 -33.03062885759956
39000 3480 -27.186115769971188
39000 3500 -23.138512193199524
39000 3520 -20.876346097897795
39000 3540 -27.541962991435867
39000 3560 -27.174598974503414
39000 3580 -27.581805456075273
39000 3600 -29.654771721815983
39000 3620 -23.400223656077802
39000 3640 -33.08537535225072
39000 3660 -32.77672352928117
39000 3680 -31.31141865200997
39000 3700 -30.913954100221503
39000 3720 -30.662347172524235
39000 3740 -28.309547066755133
39000 3760 -28.38369802012885
39000 3780 -29.2104760568429
39000 3800 -24.044344944456334
39000 3820 -22.950377297680802
39000 3840 -23.853334405981506
39000 3860 -24.528357468441055
39000 3880 -32.69240270640587
39000 3900 -34.11407743754486
39000 3920 -22.65755619580127
39000 3940 -35.70183892191928
39000 3960 -30.407770773632038
39000 3980 -33.58601202011867
39000 4000 -31.29266396632847
39000 4020 -31.51164501941816
39000 4040 -35.49768747625841
39000 4060 -31.03446864166312
39000 4080 -32.16089398631044
39000 4100 -30.32397068138859
39000 4120 -34.15471892853146
39000 4140 -34.15824121635634
39000 4160 -25.74853456396378
39000 4180 -28.749753941702636
39000 4200 -27.159508023421605
39000 4220 -26.81439008809585
39000 4240 -29.21072043651121
39000 4260 -28.58919188460228
39000 4280 -33.26097888301029
39000 4300 -35.408166758481144
39000 4320 -35.44686443491142
39000 4340 -30.84054159651007
39000 4360 -34.04648667836711
39000 4380 -27.754355620526624
39000 4400 -27.948533776569494
39000 4420 -27.086514116875104
39000 4440 -29.87831704604475
39000 4460 -30.9909890986006
39000 4480 -24.373724289002453
39000 4500 -31.438390820587507
